"ID","name","cre_id","lat","lng","regular","premium","diesel"
"0",NA,NA,NA,NA,NA,"17.74",NA
"10000","SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","PL/9109/EXP/ES/2015","23.75344","-99.17684","23.29",NA,NA
"10001","SERVICIOS PALO VERDES SA DE CV","PL/8977/EXP/ES/2015","27.46514","-109.9156","24.19",NA,NA
"10002","ELIO LOPEZ DOMINGUEZ","PL/9187/EXP/ES/2015","19.13942","-97.64679",NA,NA,NA
"10003","SERVICIO LINDA VISTA SA DE CV","PL/9125/EXP/ES/2015","31.69662","-106.4816","17.88",NA,NA
"10004","ALEJANDRO MANUEL MENDEZ HURTADO","PL/8879/EXP/ES/2015","19.40397","-102.0301","23.39",NA,NA
"10005","CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.","PL/8924/EXP/ES/2015","20.1375","-98.09792","22.99",NA,NA
"10006","OCTANT, S.A. DE C.V.","PL/9015/EXP/ES/2015","19.4416","-99.09225",NA,"24.5",NA
"10007","SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","PL/9149/EXP/ES/2015","25.64622","-100.0964",NA,"26.99",NA
"10008","E.S.G.E.S. S.A DE C.V","PL/9091/EXP/ES/2015","18.00568","-92.92425",NA,"23.99",NA
"10009","ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.","PL/8871/EXP/ES/2015","20.29356","-99.92682",NA,"25.39",NA
"10010","E.S.G.E.S. S.A DE C.V","PL/9094/EXP/ES/2015","18.60761","-90.74789",NA,"25.99",NA
"10011","JOSE MANUEL JAVIER CERVANTES LOPEZ","PL/9130/EXP/ES/2015","19.16882","-98.22876",NA,"23.98",NA
"10012","BARRAM Y ASOCIADOS SA DE CV","PL/8966/EXP/ES/2015","26.22983","-98.60134","19.98",NA,NA
"10013","SUPER-GAS LOS MANGOS SA DE CV","PL/8901/EXP/ES/2015","16.21452","-94.04179",NA,"25.35",NA
"10014","EL CICLOPE DEL ORIENTE S.A DE C.V.","PL/9146/EXP/ES/2015","19.14967","-98.7769","24.09",NA,NA
"10015","GASOLINERA CARBEL, SA DE CV","PL/9204/EXP/ES/2015","24.79382","-107.354",NA,"25.79",NA
"10016","JORGE CASAL GONZALEZ","PL/9160/EXP/ES/2015","25.44904","-108.0766","24.19",NA,NA
"10017","GASOLINERA FOY TREBOL, SA DE CV.","PL/9200/EXP/ES/2015","20.67023","-97.52385",NA,"25.54",NA
"10018","SERVICIO LOS DELFINES SA DE CV","PL/8980/EXP/ES/2015","20.67489","-103.3161","22.49",NA,NA
"10019","SERVICIO CIENEGA GRANDE, S.A. DE C.V.","PL/9138/EXP/ES/2015","22.2154","-102.0066","23.5",NA,NA
"10020","E.S.G.E.S. S.A DE C.V","PL/9097/EXP/ES/2015","18.64817","-91.80485","23.79",NA,NA
"10021","SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","PL/8963/EXP/ES/2015","20.66233","-101.3158","24.35",NA,NA
"10022","LUZ DEL CARMEN FONTAN HERNANDEZ","PL/8996/EXP/ES/2015","19.2108","-96.16422",NA,"22.56",NA
"10023","MARIA SOLEDAD CUENCA MERLO","PL/8990/EXP/ES/2015","19.42715","-97.79796",NA,NA,NA
"10024","Auto Servicio Nucar sa de cv ","PL/9066/EXP/ES/2015","19.85399","-100.4",NA,"25.0",NA
"10025","GASOLINERA FOS AEROPUERTO, SA DE CV.","PL/9197/EXP/ES/2015","20.59171","-97.49484",NA,"25.65",NA
"10026","COMBUSTIBLES Y SERVICIO SANTA MARIA, S.A. DE C.V.","PL/9105/EXP/ES/2015","25.73991","-99.87657","18.65",NA,NA
"10027","SERVICIOS ENERGETICOS EL TORREONSITO, S.A. DE C.V.","PL/9069/EXP/ES/2015","25.49046","-102.9573","22.89",NA,NA
"10028","SERVICIOS LOGISTICOS DE ORIENTE SA DE CV","PL/9064/EXP/ES/2015","20.94534","-89.57294","23.99",NA,NA
"10029","SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","PL/9151/EXP/ES/2015","25.7739","-100.3811",NA,"26.89",NA
"10030","Servicio Morgusa SA de CV","PL/9054/EXP/ES/2015","20.10182","-98.7189","22.35",NA,NA
"10031","VIZA LUAN GASOLINERIA SA DE CV","PL/9050/EXP/ES/2015","20.82696","-99.72063",NA,"24.35",NA
"10032","SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","PL/9168/EXP/ES/2015","25.47195","-100.948",NA,NA,"16.45"
"10033","E.S.G.E.S. S.A DE C.V","PL/9087/EXP/ES/2015","19.82289","-90.53315",NA,"25.99",NA
"10034","MARIO LUIS TORRES DE LIRA","PL/9145/EXP/ES/2015","19.2899","-99.66096","22.89",NA,NA
"10035","BURGOS PLUS GASOLINERAS S.A. DE C.V.","PL/9070/EXP/ES/2015","26.07834","-98.28484","19.08",NA,NA
"10036","Hidrocarburos La Marquesilla, S.A. de C.V.","PL/9186/EXP/ES/2015","18.00725","-95.25745","22.86",NA,NA
"10037","SINERGIA DE ENERGETICOS S.A. DE C.V. ","PL/9116/EXP/ES/2015","19.05175","-98.22664","23.69",NA,NA
"10038","SAMUEL CHAVEZ VILLALOBOS","PL/8948/EXP/ES/2015","26.94272","-105.7062","23.5",NA,NA
"10039","GASOLINERA FOS IDOLITOS, SA DE CV.","PL/9129/EXP/ES/2015","20.88591","-97.65946","23.75",NA,NA
"10040","JESUS JOSE GONZALEZ MONTAÑEZ","PL/9194/EXP/ES/2015","22.26756","-101.9785",NA,"24.5",NA
"10041","Combustibles y Lubricantes Chontal SA de CV","PL/9085/EXP/ES/2015","15.97957","-95.61476",NA,"25.27",NA
"10042","ESTACION DE SERVICIO LA RESURRECCION S.A. DE C.V.","PL/9115/EXP/ES/2015","19.0603","-98.15562",NA,"24.89",NA
"10043","ENERGIA FATIMA SA DE CV","PL/8982/EXP/ES/2015","20.74139","-103.4309",NA,"25.49",NA
"10044","SERVICIO LAS TORRES, S.A DE C.V.","PL/9183/EXP/ES/2015","23.27974","-102.9986","23.49",NA,NA
"10045","AUTO SERVICIO LA ESTANCIA S. A. DE C.V.","PL/9046/EXP/ES/2015","19.2345","-103.6854","24.82",NA,NA
